ClientID,TimeIndex,Count,Avg,99
client0,1,6624,241.41,498.94
client0,2,8520,213.17,469.50
client0,3,8577,210.35,455.94
client0,4,8224,216.89,492.03
client0,5,8347,209.69,484.86
client0,6,8655,202.46,481.28
client1,1,6651,240.26,483.07
client1,2,8144,214.53,469.76
client1,3,8414,210.68,459.01
client1,4,8045,219.58,568.83
client1,5,8662,206.13,467.20
client1,6,8927,199.70,456.70
client2,1,6476,244.00,483.84
client2,2,8595,212.34,472.83
client2,3,8648,211.02,467.71
client2,4,8395,214.90,510.98
client2,5,8509,207.65,471.55
client2,6,8870,199.38,466.43
client3,1,6730,240.47,493.57
client3,2,8289,213.41,458.24
client3,3,8350,210.92,455.17
client3,4,8395,214.67,502.01
client3,5,8758,204.23,472.83
client3,6,8897,200.05,446.98
